river_name,waterway,region_name,province,city_muni,selection_reason,award_company,award_project,award_stage,award_potential_mw,award_installed_mw,award_count,award_potential_mw_total,award_installed_mw_total,Power_MW,HPI,Status,Usable,Catchment,Catchment_km2,Relief_m,Runoff_mm_per_yr,Flow_m3s,HPI
Agus River,river,Region X (Northern Mindanao),Lanao del Norte,,high_potential,,,,,,0,,,0.0148,60.1,Good,True,Agus,1894.1,2789.0,12050.0,0.0007,60.1
Agus River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Baloi,high_potential,,,,,,0,,,0.0245,60.2,Good,True,Agus,1894.1,2789.0,19920.0,0.0012,60.2
Agus River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Iligan City,high_potential,,,,,,0,,,0.0245,60.2,Good,True,Agus,1894.1,2789.0,19920.0,0.0012,60.2
Agus River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Marawi City (Capital),high_potential,,,,,,0,,,0.0245,60.2,Good,True,Agus,1894.1,2789.0,19920.0,0.0012,60.2
Agus River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Pantar,awarded,Maranao Energy Corp.,Agus III Hydroelectric Power Project,Development,225.0,,6,1350.0,,0.0245,60.2,Good,True,Agus,1894.1,2789.0,19920.0,0.0012,60.2
Agus River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Saguiaran,high_potential,,,,,,0,,,0.0245,60.2,Good,True,Agus,1894.1,2789.0,19920.0,0.0012,60.2
Agusan River,river,Region XIII (Caraga),Agusan del Norte,Butuan City (Capital),high_potential,,,,,,0,,,0.1029,60.7,Good,True,Agusan,11528.6,2665.0,14350.0,0.0052,60.7
Agusan River,river,Region XIII (Caraga),Agusan del Norte,Esperanza,high_potential,,,,,,0,,,0.1029,60.7,Good,True,Agusan,11528.6,2665.0,14350.0,0.0052,60.7
Agusan River,river,Region XIII (Caraga),Agusan del Norte,Las Nieves,high_potential,,,,,,0,,,0.1029,60.7,Good,True,Agusan,11528.6,2665.0,14350.0,0.0052,60.7
Agusan River,river,Region XIII (Caraga),Agusan del Norte,San Luis,high_potential,,,,,,0,,,0.1029,60.7,Good,True,Agusan,11528.6,2665.0,14350.0,0.0052,60.7
Agusan River,river,Region XIII (Caraga),Agusan del Sur,Bunawan,high_potential,,,,,,0,,,0.0839,60.5,Good,True,Agusan,11528.6,2665.0,11700.0,0.0043,60.5
Agusan River,river,Region XIII (Caraga),Agusan del Sur,Butuan City (Capital),high_potential,,,,,,0,,,0.0839,60.5,Good,True,Agusan,11528.6,2665.0,11700.0,0.0043,60.5
Agusan River,river,Region XIII (Caraga),Agusan del Sur,Esperanza,high_potential,,,,,,0,,,0.0839,60.5,Good,True,Agusan,11528.6,2665.0,11700.0,0.0043,60.5
Agusan River,river,Region XIII (Caraga),Agusan del Sur,La Paz,high_potential,,,,,,0,,,0.0839,60.5,Good,True,Agusan,11528.6,2665.0,11700.0,0.0043,60.5
Agusan River,river,Region XIII (Caraga),Agusan del Sur,Las Nieves,high_potential,,,,,,0,,,0.0839,60.5,Good,True,Agusan,11528.6,2665.0,11700.0,0.0043,60.5
Agusan River,river,Region XIII (Caraga),Agusan del Sur,Loreto,high_potential,,,,,,0,,,0.0839,60.5,Good,True,Agusan,11528.6,2665.0,11700.0,0.0043,60.5
Agusan River,river,Region XIII (Caraga),Agusan del Sur,Monkayo,high_potential,,,,,,0,,,0.0839,60.5,Good,True,Agusan,11528.6,2665.0,11700.0,0.0043,60.5
Agusan River,river,Region XIII (Caraga),Agusan del Sur,Rosario,high_potential,,,,,,0,,,0.0839,60.5,Good,True,Agusan,11528.6,2665.0,11700.0,0.0043,60.5
Agusan River,river,Region XIII (Caraga),Agusan del Sur,San Luis,high_potential,,,,,,0,,,0.0839,60.5,Good,True,Agusan,11528.6,2665.0,11700.0,0.0043,60.5
