Name,Type,Region,Province,City_Muni,Lat,Lon
Agno River,river,Region I (Ilocos Region),Pangasinan,Lingayen (Capital),16.009794,120.210932
Agno River,river,Region I (Ilocos Region),Pangasinan,Mangatarem,15.847334,120.295422
Agno River,river,Region I (Ilocos Region),Pangasinan,Rosales,15.979963,120.677559
Agno River,river,Region I (Ilocos Region),Pangasinan,San Carlos City,15.91219,120.246888
Agno River,river,Region I (Ilocos Region),Pangasinan,San Manuel,16.215852,120.696981
Agno River,river,Region I (Ilocos Region),Pangasinan,San Nicolas,16.069171,120.724629
Agno River,river,Region I (Ilocos Region),Pangasinan,Santa Maria,15.979963,120.677559
Agno River,river,Region I (Ilocos Region),Pangasinan,Santo Tomas,15.879662,120.576968
Agno River,river,Region I (Ilocos Region),Pangasinan,Tayug,16.069171,120.724629
Agno River,river,Region I (Ilocos Region),Pangasinan,Urbiztondo,15.80667,120.327786
Agno River,river,Region I (Ilocos Region),Pangasinan,Villasis,15.879662,120.576968
Agos River,river,Region IV-A (Calabarzon),Quezon,General Nakar,14.757483,121.635698
Agos River,river,Region IV-A (Calabarzon),Quezon,Infanta,14.773746,121.655866
Agsabu River,river,Region XIII (Caraga),Agusan del Sur,Esperanza,8.678832,125.382961
Aguang River,river,Region III (Central Luzon),Aurora,Maria Aurora,15.784835,121.502269
Aguila,river,Region VI (Western Visayas),Antique,Sebaste,11.512278,122.090227
Aguinaldo Park Stream,stream,Cordillera Administrative Region (CAR),Benguet,Baguio City,16.412017,120.601372
Aguisan River,river,Region VI (Western Visayas),Negros Occidental,Binalbagan,10.19132,122.879488
Aguisan River,river,Region VI (Western Visayas),Negros Occidental,City of Himamaylan,10.19132,122.879488
Aguisan River,stream,Region VI (Western Visayas),Negros Occidental,Binalbagan,10.193806,122.893509
Aguisan River,stream,Region VI (Western Visayas),Negros Occidental,City of Himamaylan,10.193806,122.893509
Agus River,river,Region X (Northern Mindanao),Lanao del Norte,Baloi,8.169705,124.199433
Agus River,river,Region X (Northern Mindanao),Lanao del Norte,Iligan City,8.169705,124.199433
Agus River,river,Region X (Northern Mindanao),Lanao del Norte,Marawi City (Capital),8.028033,124.285829
Agus River,river,Region X (Northern Mindanao),Lanao del Norte,Pantar,8.065818,124.251742
Agus River,river,Region X (Northern Mindanao),Lanao del Norte,Saguiaran,8.065818,124.251742
Agus River,river,Region X (Northern Mindanao),Lanao del Norte,,8.120223,124.201801
Agus River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Baloi,8.07291,124.243976
Agus River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Iligan City,8.079402,124.235308
Agus River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Marawi City (Capital),8.049475,124.279369
Agus River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Pantar,8.065818,124.251742
Agus River,river,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Saguiaran,8.065818,124.251742
Agusan River,river,Region XIII (Caraga),Agusan del Norte,Butuan City (Capital),8.725204,125.622579
Agusan River,river,Region XIII (Caraga),Agusan del Norte,Esperanza,8.725204,125.622579
Agusan River,river,Region XIII (Caraga),Agusan del Norte,Las Nieves,8.725204,125.622579
Agusan River,river,Region XIII (Caraga),Agusan del Norte,San Luis,8.725204,125.622579
Agusan River,river,Region XIII (Caraga),Agusan del Sur,Bunawan,8.147077,125.913888
Agusan River,river,Region XIII (Caraga),Agusan del Sur,Butuan City (Capital),8.725204,125.622579
Agusan River,river,Region XIII (Caraga),Agusan del Sur,Esperanza,8.551634,125.701983
Agusan River,river,Region XIII (Caraga),Agusan del Sur,La Paz,8.319439,125.890473
Agusan River,river,Region XIII (Caraga),Agusan del Sur,Las Nieves,8.725204,125.622579
Agusan River,river,Region XIII (Caraga),Agusan del Sur,Loreto,8.147077,125.913888
Agusan River,river,Region XIII (Caraga),Agusan del Sur,Monkayo,7.887347,126.060586
Agusan River,river,Region XIII (Caraga),Agusan del Sur,Rosario,8.319439,125.890473
Agusan River,river,Region XIII (Caraga),Agusan del Sur,San Luis,8.474611,125.764082
Agusan River,river,Region XIII (Caraga),Agusan del Sur,Santa Josefa,8.147077,125.913888
Agusan River,river,Region XIII (Caraga),Agusan del Sur,Talacogon,8.474611,125.764082
Agusan River,river,Region XIII (Caraga),Agusan del Sur,Trento,7.887347,126.060586
Agusan River,river,Region XIII (Caraga),Agusan del Sur,Veruela,8.147077,125.913888
Agusan River,river,Region X (Northern Mindanao),Bukidnon,Baungon,8.305411,124.813904
Agusan River,river,Region X (Northern Mindanao),Bukidnon,Cagayan de Oro City (Capital),8.438336,124.790998
Agusan River,river,Region X (Northern Mindanao),Bukidnon,Libona,8.305411,124.813904
Agusan River,river,Region X (Northern Mindanao),Bukidnon,Manolo Fortich,8.305411,124.813904
Agusan River,river,Region XI (Davao Region),Davao de Oro (Compostela Valley),Compostela,7.708496,126.072144
Agusan River,river,Region XI (Davao Region),Davao de Oro (Compostela Valley),Monkayo,7.887347,126.060586
Agusan River,river,Region XI (Davao Region),Davao de Oro (Compostela Valley),Santa Josefa,7.887347,126.060586
Agusan River,river,Region XI (Davao Region),Davao de Oro (Compostela Valley),Trento,7.887347,126.060586
Agusan River,river,Region X (Northern Mindanao),Misamis Oriental,Cagayan de Oro City (Capital),8.438336,124.790998
Agusan River,river,Region X (Northern Mindanao),Misamis Oriental,Manolo Fortich,8.438336,124.790998
Agusuhin River,river,Region III (Central Luzon),Zambales,Subic,14.813801,120.202507
Agusuhin River,stream,Region III (Central Luzon),Zambales,Subic,14.810973,120.178684
